full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,64585,64585,4912,128,128,6,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,40873,40873,5065,268,268,26,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,16567,16567,3564,23,23,2,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,27324,27324,2125,12,12,6,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,19549,19549,1829,25,25,0,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,22944,22944,1325,24,24,3,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5516,5516,1425,8,8,1,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,8811,8811,1142,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
VoltAgent/awesome-claude-code-subagents,9640,9640,1049,26,26,3,https://github.com/VoltAgent/awesome-claude-code-subagents
OneRedOak/claude-code-workflows,3577,3577,531,1,1,0,https://github.com/OneRedOak/claude-code-workflows
frankbria/ralph-claude-code,6374,6374,443,10,10,1,https://github.com/frankbria/ralph-claude-code
ChrisWiles/claude-code-showcase,5228,5228,449,2,2,0,https://github.com/ChrisWiles/claude-code-showcase
Piebald-AI/claude-code-system-prompts,4114,4114,614,18,18,2,https://github.com/Piebald-AI/claude-code-system-prompts
1rgs/claude-code-proxy,2987,2987,400,0,0,0,https://github.com/1rgs/claude-code-proxy
kodu-ai/claude-coder,5290,5290,200,0,0,0,https://github.com/kodu-ai/claude-coder
disler/claude-code-hooks-mastery,2567,2567,516,13,13,3,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3309,3309,298,4,4,0,https://github.com/zebbern/claude-code-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,6430,6430,313,4,4,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2065,2065,357,2,2,0,https://github.com/Yuyz0112/claude-code-reverse
fuergaosi233/claude-code-proxy,1995,1995,276,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
Cranot/claude-code-guide,2329,2329,255,1,1,0,https://github.com/Cranot/claude-code-guide
anthropics/skills,64242,64242,6342,272,272,31,https://github.com/anthropics/skills
eyaltoledano/claude-task-master,25316,25316,2419,4,4,0,https://github.com/eyaltoledano/claude-task-master
anthropics/claude-code-base-action,569,569,597,1,1,0,https://github.com/anthropics/claude-code-base-action
wshobson/agents,27897,27897,3074,21,21,2,https://github.com/wshobson/agents
Pimzino/claude-code-spec-workflow,3398,3398,247,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
anthropics/claude-code-security-review,2944,2944,226,2,2,1,https://github.com/anthropics/claude-code-security-review
snarktank/ralph,9579,9579,1112,27,27,2,https://github.com/snarktank/ralph
https-deeplearning-ai/sc-claude-code-files,396,396,539,0,0,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1131,1131,231,5,5,0,https://github.com/edmund-io/edmunds-claude-code
router-for-me/CLIProxyAPI,9481,9481,1497,57,57,4,https://github.com/router-for-me/CLIProxyAPI
sickn33/antigravity-awesome-skills,7460,7460,1572,48,48,7,https://github.com/sickn33/antigravity-awesome-skills
github/spec-kit,67906,67906,5856,52,52,4,https://github.com/github/spec-kit
feiskyer/claude-code-settings,1179,1179,181,0,0,0,https://github.com/feiskyer/claude-code-settings
