full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,71716,71716,11647,15,15,4,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9558,9558,14682,-1,-1,-3,https://github.com/ChinaSiro/claude-code-sourcemap
Alishahryar1/free-claude-code,41346,41346,6721,59,59,10,https://github.com/Alishahryar1/free-claude-code
pengchengneo/Claude-Code,1679,1679,2550,2,2,1,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,50524,50524,4396,2,2,0,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,63180,63180,6310,7,7,1,https://github.com/shanraisshan/claude-code-best-practice
davila7/claude-code-templates,29793,29793,3184,7,7,2,https://github.com/davila7/claude-code-templates
musistudio/claude-code-router,35990,35990,2987,14,14,4,https://github.com/musistudio/claude-code-router
LING71671/Open-ClaudeCode,925,925,1220,1,1,0,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,23259,23259,3332,7,7,0,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,23546,23546,2748,6,6,1,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3262,3262,3823,0,0,0,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2325,2325,3540,0,0,0,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,8407,8407,1985,1,1,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,11930,11930,2013,3,3,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3599,3599,1983,3,3,1,https://github.com/liuup/claude-code-analysis
pedrohcgs/claude-code-my-workflow,1415,1415,2803,0,0,0,https://github.com/pedrohcgs/claude-code-my-workflow
diet103/claude-code-infrastructure-showcase,9965,9965,1228,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9556,9556,730,0,0,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,9368,9368,742,0,0,0,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,2765,2765,2436,1,1,0,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,788,788,1757,0,0,0,https://github.com/hangsman/claude-code-source
